site_name,What does the respondent call the site?,governorate,district,subdistrict,site_typology,Is this a single or clustered site?,How many sites are there?,coordinates_latitude,coordinates_longitude,background/hhs_clusterd_dispersed,background/date_first_occupied,background/date_majority_arrived,hh/total_families,hh/total_population,hh/total_females,hh/total_children,hh/total_schoolagedchildren,vulnerabilities_groups/F_HoH,vulnerabilities_groups/Child_HoH,vulnerabilities_groups/unaccompanied,vulnerabilities_groups/ppl_physical_dis,vulnerabilities_groups/ppl_chronic_disease,vulnerabilities_groups/preg_or_lac,vulnerabilities_groups/elderly_at_risk,background/governorate_aoo,background/district_aoo,background/location,background/date_of_firstdeparture,social_cohesion/intentions_three,social_cohesion/intentions_twelve,social_cohesion/reasons_not_to_return,shelter_type/types,shelter_type/damaged_inneedof_repairs,shelter_type/main_priority_concerns,shelter_type/payingrent,shelter_type/tenancy_agreement,social_cohesion/eviction,Which actors are trying to forcibly evict the site residents?,What are the main reasons that these households are at risk of forcible eviction?,physical_conditions/overcrowding,physical_environment/dis_access,physical_environment/electric,physical_environment/elec_concerns,physical_environment/fire_equipment,physical_environment/mines,Which services/ assistance are needed most urgently in the site (select up to 3)?,Have any services or assistance been provided to the site in the last 3 months?,(if yes) What type of assistance (select all that apply)?,(if yes) From who? (select all that apply)?,Do households in the site need more information on how to access needed services?,sanitation/drinking,sanitation/water_acceptable,"In the last 30 days, were any households unable to access their primary source of drinking water?",(If yes) How many households experienced access issues?,(If yes) For how many days on average (in the last 30)?,"(if yes) How do households cope with lack of access i.e. buy water, rely on communal tanks etc (select all that apply)?",latrines/functional_types,showers/functional_types,sanitation/open_def,Were any households unable to access or afford basic hygiene items in the last 30 days?,sanitation/flooding,sanitation/wastecollection,What were the main health issues experienced by site residents in the last 30 days (select all that apply)?,health/functional_clinic_within_5km,"In what area is it located i.e. town, sub-district",health/emergency_services,health/surgical_services,health/pediatric_services,health/prenatal_services,health/functional_hospital_within_10km,"In what area is it located i.e. town, sub-district","In your opinion, what are the barriers to accessing healthcare services  from the site?",health/ambulance,Have there been any vaccination campaigns providing vaccinations in the last 6 months at the site?,food_security/food_access_in_last_7_days,food_security/main_concern,food_security/pds,livelihoods/markets,(if yes) How far away (km)?,"In the last 30 days, were there any basic food or non-food items that were not affordable to the average household?",What are the primary sources of livelihoods people in the site have access to / are engaging in?,"In your opinion, what are the barriers to accessing livelihoods/income generating opportunities from the site ?",Approximately what proportion of minors (under the age of 18) from the site worked in the last 30 days?,education/primary_school_in_sites,(if yes) How far away (km)?,(if yes) Are there sufficient certified teachers?,education/secondary_school_in_sites,(if yes) How far away (km)?,(if yes) Are there sufficient certified teachers?,education/school_aged_children_able_to_access_school,"In your opinion, what are the primary challenges to accessing formal education?",How many school-aged children have not been attending formal education in the last school year?,"Are any groups of children less able to access formal or non-formal education i.e. high-school aged boys or girls, or children with disabilities?",protection/movement_restrictions,social_cohesion/tension,protection/security_incidents,protection/safety,protection/facilities_services_disability,protection/facilities_services_mental_disability,"Are there adequate mental health and psycho-social support services available for persons in the site, through government, humanitarian or private service providers?",protection/civil_documents,protection/accessible_courts,_id,_uuid,_submission_time,_validation_status,_index,admin3Na_1,admin3Pcod,admin2Pcod,admin1Pcod
Shariya - Sina village UB 1,Syena,Duhok,Sumail,Sindi,Self-settled site,Single,,36.80883888,43.03961746,IDP households are dispered,8/1/2014,8/1/2014,120,850,500,100,100,15,10,0,10,30,20,30,Ninewa,Sinjar,Sinjar,8/1/2014,Stay at site,Stay at site,"Security concerns: Lack of security forces House has been damaged/destroyed Basic services in the area of origin are not enough/available (electricity, water, health)",Unfinished and abandoned Residential building,All shelters (100%),"Improve safety and security (shelter located in an insecure/ isolated area, shelter not solid enough to offer protection from intruders, not fenced, without security of tenure, etc Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris)",Less than half (25%-49%),No tenancy agreement,Yes,Private owner,Lack of funds to pay rental costs,No,"Yes, but with difficulty (steep routes, too many stairs, etc.)",All have access (100%),Low and uncovered electrical pylons Overloaded circuits,None,Risk of unexploded ordinance or mines,Cash Food assistance WASH (water),Yes,Cash,INGO,Yes,Municipal water network (private access),No,Yes,Less than half (25%-49%),6,Borrow from friends or relatives,Private latrines,Private showers,No,No,No,Yes,None,Yes,Sharya,No,No,Yes,No,No,,Cost of healthcare was too high No transport available,Don't know,Yes,Nearly all have access (75%-99%),"Limited access to food due to physical/logistical constraints (e.g. damaged roads, no vehicles, long distance)",Yes,Yes,5,Basic food items Water Kerosene,Unskilled agricultural albour Unskilled wage labour,Increased competition for jobs; not enough jobs for everyone,10,Yes,1,Yes,Yes,5,Yes,60,Long distance to travel to school Children have to work to cope with lack of food,Less than a quarter (1%-24%),Male middle school Male high school Children with disabilities,None,Yes,Don't know,Yes,No,No,No,Less than a quarter (1%-24%),50,67199785,8290d99a-797e-492b-aca3-2b6d01456793,2019-09-09T13:59:51,,180,????,IQG09Q03N04,IQG09Q03,IQG09
Shariya - Shekh khedr center IS 1,Sheakh Khdr Neardasan School,Duhok,Sumail,Sindi,Self-settled site,Single,,36.78238862,42.96679236,IDP households are dispered,9/1/2016,9/1/2018,60,360,200,50,60,1,0,0,1,10,10,5,Ninewa,Sinjar,Sinjar,8/1/2014,Stay at site,Stay at site,"Security concerns: Fear of discrimination Basic services in the area of origin are not enough/available (electricity, water, health) Living conditions are better in the area of displacement",Tent,Most shelters (50%-74%),"Improve safety and security (shelter located in an insecure/ isolated area, shelter not solid enough to offer protection from intruders, not fenced, without security of tenure, etc Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.)",No households (0%),No tenancy agreement,No,,,No,"No, the site is not accessible",All have access (100%),Not enough electricity supply to the whole site,None,Neither present in or around the site,"Food assistance In-kind shelter assistance i.e. tarpaulines, tents",No,,,Yes,Municipal water network (communal access),No,No,,,,Private latrines,Private showers,No,No,No,Yes,None,Yes,Sharya,No,No,Yes,No,No,,Cost of healthcare was too high Cost of transport was too high,Yes,Yes,No households (0%),None,Yes,Yes,2,Everything needed is available,Commercial agriculture Smallholder agriculture Unskilled agricultural albour Self-employment,"Increased competition for jobs; not enough jobs for everyone Only low-skilled, socially degrading or low-paid jobs are available",1,Yes,2,Yes,Yes,2,Yes,90,None,Less than a quarter (1%-24%),Male primary school Female primary school Male middle school Female middle school Male high school Female high school,None,No,No,Yes,Yes,Yes,No,No households (0%),15,67193284,c826ba2c-1814-4a18-85ce-8a45a37dfa45,2019-09-09T13:21:02,,174,????,IQG09Q03N04,IQG09Q03,IQG09
Shariya - Gre pani center IS 4,Informal site,Duhok,Sumail,Sindi,Collective centre,Cluster,30,36.79018811,42.96847361,IDP households are dispered,8/1/2014,1/1/2015,301,1500,900,250,150,10,1,3,1,2,40,5,Ninewa,Sinjar,Qiblat,8/1/2014,Don't know,Don't know,"Security concerns: Lack of security forces Security concerns: Fear of discrimination Basic services in the area of origin are not enough/available (electricity, water, health)",Tent,Nearly all shelters (75-99%),"Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting) Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris)",No households (0%),No tenancy agreement,No,,,Yes,"Yes, but with difficulty (steep routes, too many stairs, etc.)",All have access (100%),Poor wiring Low and uncovered electrical pylons,None,Neither present in or around the site,"Cash Winterization items In-kind shelter assistance i.e. tarpaulines, tents",No,,,Yes,Municipal water network (private access),No,No,,,,Private latrines,Private showers,No,No,Yes,Yes,None,Yes,Sharya,No,No,Yes,No,No,,Cost of healthcare was too high No transport available Cost of transport was too high,Yes,Yes,No households (0%),None,No,Yes,2,Everything needed is available,Subsistence agriculture Unskilled agricultural albour Casual unskilled labour,Increased competition for jobs; not enough jobs for everyone Underqualified for available jobs,1,Yes,3,No,Yes,3,No,75,Not enough schools or classrooms Not enough teachers Long distance to travel to school,Less than a quarter (1%-24%),Male primary school Female primary school,None,No,No,Yes,Yes,Yes,No,No households (0%),10,67100288,c4a707b7-2302-452c-a7ef-e4a0ec72f959,2019-09-08T13:33:01,,146,????,IQG09Q03N04,IQG09Q03,IQG09
Hay Al-Nedaa - 1 ????,Baha rekan,Kirkuk,Kirkuk,Markaz Kirkuk,Small settlement,Single,,35.38935827,44.36972081,IDP households are clustered together,9/1/2014,7/1/2016,40,200,90,50,30,5,1,1,2,5,10,2,Kirkuk Salah al-Din,Daquq,Daqoq,9/1/2014,Stay at site,Stay at site,No financial means to return and restart Lack of livelihood/income generating activities in AoO House has been damaged/destroyed,Unfinished and abandoned Residential building,All shelters (100%),"Improve safety and security (shelter located in an insecure/ isolated area, shelter not solid enough to offer protection from intruders, not fenced, without security of tenure, etc Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting) Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.)",Less than a quarter (1%-24%),Verbal tenancy agreement,No,,,Yes,"Yes, but with difficulty (steep routes, too many stairs, etc.)",All have access (100%),None,None,Neither present in or around the site,Cash Food assistance NFIs,No,,,No,Municipal water network (private access),No,No,,,,Private latrines,Private showers,Yes,No,Yes,No,"Numerous cases of diarrhea Skin diseases (scabies, contagious rashes, etc.) Numerous cases of respiratory diseases",Yes,Dwmeez,No,No,Yes,Yes,,,Insufficient funds to purchase treatment/ medication,Yes,Yes,All households (100%),None,Yes,Yes,1,Kerosene,Unskilled wage labour,Increased competition for jobs; not enough jobs for everyone Lack of family/personal connections,2,Yes,1,Yes,Yes,1,Yes,50,Children have to work to cope with lack of food,Less than half (25%-49%),Male primary school Female primary school Male middle school Female middle school,None,No,Don't know,Yes,No,No,No,Less than a quarter (1%-24%),13,67624927,567ce530-269b-42c6-87e4-33c979da6c41,2019-09-12T15:38:17,,253,???? ?????,IQG13Q04N06,IQG13Q04,IQG13
New zinyat 4,Near of stadium,Duhok,Sumail,Sindi,Small settlement,Cluster,7,36.78394767,42.78413495,IDP households are dispered,10/1/2014,9/1/2016,15,105,75,25,35,1,0,0,1,1,5,10,Ninewa,Sinjar,Tal Bnlt and Qabla,8/1/2014,Stay at site,Stay at site,"Security concerns: Lack of security forces Lack of livelihood/income generating activities in AoO Basic services in the area of origin are not enough/available (electricity, water, health)",Makeshift shelter (with scavenged materials),Most shelters (50%-74%),"Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting) Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris)",No households (0%),No tenancy agreement,No,,,Yes,"No, the site is not accessible",All have access (100%),None,None,Neither present in or around the site,"Fuel In-kind shelter assistance i.e. tarpaulines, tents Education services i.e. informal education or remedial classes",Yes,Food assistance Summerization items WASH (water) WASH (hygeine and sanitation infrastructure i.e. latrines and showers),Government assistance,Yes,Municipal water network (private access),No,Yes,Less than half (25%-49%),4,Purchase from truck,Private latrines,Private showers,No,No,Yes,Yes,None,Yes,Khanky,No,No,Yes,No,No,,Cost of healthcare was too high Cost of transport was too high,Yes,Yes,No households (0%),None,Yes,Yes,1,Everything needed is available,Unskilled agricultural albour Self-employment,Increased competition for jobs; not enough jobs for everyone Available jobs are too far away Lack of family/personal connections,2,Yes,2,Yes,Yes,2,Yes,90,Long distance to travel to school,No children (0%),None,None,No,No,Yes,Yes,Yes,No,All households (100%),35,67317477,4117fea0-5626-43c9-9621-7e237e1f8b4d,2019-09-10T13:15:45,,202,????,IQG09Q03N04,IQG09Q03,IQG09
New zinyat 6,Khanqy  ,Duhok,Sumail,Sindi,Self-settled site,Single,,36.78403741,42.78016401,IDP households are dispered,8/1/2014,8/1/2014,106,740,320,40,225,15,0,0,20,40,15,30,Ninewa,Sinjar,Sinjar,8/1/2014,Stay at site,Don't know,"Security concerns: Lack of security forces Basic services in the area of origin are not enough/available (electricity, water, health)",Unfinished and abandoned Residential building,Nearly all shelters (75-99%),"Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities) Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris)",No households (0%),No tenancy agreement,No,,,Yes,"Yes, but with difficulty (steep routes, too many stairs, etc.)",All have access (100%),Low and uncovered electrical pylons Overloaded circuits,None,Neither present in or around the site,Cash NFIs Fuel,Yes,Food assistance NFIs,INGO,Yes,Municipal water network (private access),Yes,No,,,,Private latrines,Private showers,No,Yes,No,Yes,None,Yes,Khanky,No,No,Yes,No,No,,Insufficient funds to purchase treatment/ medication No transport available,Yes,No,Less than half (25%-49%),"Limited access to food due to physical/logistical constraints (e.g. damaged roads, no vehicles, long distance)",Yes,Yes,1,Hygiene items Kerosene,Unskilled agricultural albour Unskilled wage labour,"Increased competition for jobs; not enough jobs for everyone Only low-skilled, socially degrading or low-paid jobs are available",10,Yes,1,Yes,Yes,1,Yes,80,None,Less than a quarter (1%-24%),Male middle school Male high school Female high school Children with disabilities,None,No,No,Yes,No,No,No,Less than a quarter (1%-24%),50,67316638,1c2d1a0f-fb3b-440f-a8b5-f2427603b6a2,2019-09-10T13:11:19,,192,????,IQG09Q03N04,IQG09Q03,IQG09
New zinyat 2,Khanqy New,Duhok,Sumail,Sindi,Self-settled site,Single,,36.78176145,42.77745912,IDP households are dispered,8/1/2014,9/1/2014,21,130,60,9,25,3,0,0,1,30,1,20,Ninewa,Sinjar,Sinjar,8/1/2014,Stay at site,Stay at site,"Security concerns: Lack of security forces Security concerns: Presence of explosive hazards (mines, bombs, IEDs) Basic services in the area of origin are not enough/available (electricity, water, health)",Unfinished and abandoned Residential building Tent,All shelters (100%),"Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities) Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris)",No households (0%),No tenancy agreement,No,,,Yes,"Yes, but with difficulty (steep routes, too many stairs, etc.)",All have access (100%),Low and uncovered electrical pylons Overloaded circuits,None,Neither present in or around the site,Cash Food assistance NFIs,No,,,Yes,Municipal water network (communal access),Yes,Don't know,,,,Communal latrines Private latrines,Communal showers Private showers,No,Yes,No,Yes,Numerous cases of diarrhea,Yes,Khanky,No,No,Yes,No,No,,Cost of healthcare was too high Insufficient funds to purchase treatment/ medication No transport available,Yes,No,Most households (50-70%),"Limited access to food due to physical/logistical constraints (e.g. damaged roads, no vehicles, long distance)",Yes,Yes,1,Basic food items Hygiene items,Unskilled agricultural albour Unskilled wage labour Public security official,Increased competition for jobs; not enough jobs for everyone Available jobs are too far away,10,Yes,1,Yes,Yes,1,Yes,60,Children have to work to cope with lack of food,Less than a quarter (1%-24%),Male middle school Male high school,None,Yes,No,Yes,No,No,No,Less than a quarter (1%-24%),15,67316817,27a056d3-3e6c-4cf0-81ea-f81c47991269,2019-09-10T13:12:11,,195,????,IQG09Q03N04,IQG09Q03,IQG09
chardaghli village - Cluster 1,Talal Hator Mohammed,Kirkuk,Kirkuk,Taza Khormato,Dispersed settlements,Single,,35.37416748,44.30207279,IDP households are dispered,6/1/2015,9/1/2015,250,1500,100,60,45,5,1,1,2,2,20,5,Kirkuk Salah al-Din,Daquq,Rashad,9/1/2014,Stay at site,Stay at site,No financial means to return and restart Lack of livelihood/income generating activities in AoO House has been damaged/destroyed,Unfinished and abandoned Residential building,Less than a quarter shelters (1%-24%),"Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities)",No households (0%),No tenancy agreement,No,,,No,"Yes, without any problem",All have access (100%),Not enough electricity supply to the whole site,None,Neither present in or around the site,Cash Food assistance NFIs,No,,,Yes,Municipal water network (private access),Yes,No,,,,Private latrines,Private showers,No,No,No,No,"Numerous cases of diarrhea Skin diseases (scabies, contagious rashes, etc.) Numerous cases of respiratory diseases",Yes,Jardaghly,No,No,No,No,,,Faciltiies were too far away,Yes,Yes,All households (100%),None,Yes,Yes,1,Kerosene,Unskilled wage labour Casual unskilled labour,Increased competition for jobs; not enough jobs for everyone Underqualified for available jobs Lack of family/personal connections,5,Yes,1,Yes,Yes,2,Yes,30,Not enough schools or classrooms,Less than half (25%-49%),Male primary school Male middle school Female middle school Male high school Female high school,No money for transportation cost,No,No,Yes,No,No,No,No households (0%),15,68063283,fa191eae-fa0c-4c0a-9569-98fcac1f29d3,2019-09-16T18:15:54,,299,???? ???????,IQG13Q04N01,IQG13Q04,IQG13
chardaghli village - Cluster 1-1,Azawy khalaf,Kirkuk,Kirkuk,Taza Khormato,Dispersed settlements,Cluster,1,35.3530404,44.30729579,IDP households are dispered,10/1/2014,11/1/2014,50,250,120,70,70,2,1,0,3,4,3,0,Kirkuk Salah al-Din,Hawiga,Al Read,8/1/2014,Stay at site,Stay at site,Lack of livelihood/income generating activities in AoO House has been damaged/destroyed Household assets have been damaged/stolen,Unfinished and abandoned Residential building,Less than half shelters (25%-49%),"Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting) Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.)",Less than half (25%-49%),No tenancy agreement,No,,,No,"Yes, without any problem",All have access (100%),None,None,Neither present in or around the site,Cash Food assistance Cash for Work activities,Yes,Cash,Don't know,No,Municipal water network (communal access),Yes,No,,,,Private latrines,Private showers,Yes,No,No,No,"Numerous cases of diarrhea Skin diseases (scabies, contagious rashes, etc.)",Yes,Jardaghly,No,No,Yes,Yes,No,,Cost of healthcare was too high Medication not available,No,Yes,No households (0%),None,Yes,Yes,1,Everything needed is available,Casual unskilled labour,Increased competition for jobs; not enough jobs for everyone,1,Yes,4,Yes,Yes,2,Yes,35,Long distance to travel to school,Less than half (25%-49%),Male high school Female high school,None,No,No,Yes,No,No,No,Less than a quarter (1%-24%),17,67514562,7ae98f1d-0bb1-4ae5-9e75-d8c2b8fe0c6f,2019-09-11T20:19:53,,225,???? ???????,IQG13Q04N01,IQG13Q04,IQG13
Al-Amirya-Albu Saleh - Tahoma School,Bzebiz sectors,Al-Anbar,Al-Falluja,Al-Amirya,Dispersed settlements,Cluster,10,33.142815,44.02157,IDP households are dispered,3/1/2015,7/1/2015,1512,8560,5000,1700,1000,15,3,1,3,85,20,3,Babylon Anbar,Musayab,Jurf Al-Sakher,6/1/2015,Stay at site,Stay at site,"Security concerns: Fear/trauma associated with returning to place of origin Security concerns: Lack of security forces Security concerns: Presence of explosive hazards (mines, bombs, IEDs)",Tent Makeshift shelter (with scavenged materials),Less than a quarter shelters (1%-24%),"Protection from hazards (contamination from explosive remnants of war, land at risk of flooding or landslides, solid waste dumping site, fire risks, etc.) Improve safety and security (shelter located in an insecure/ isolated area, shelter not solid enough to offer protection from intruders, not fenced, without security of tenure, etc Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting)",No households (0%),No tenancy agreement,No,,,No,"No, the site is not accessible",Nearly all have access (75%-99%),Overloaded circuits,None,Neither present in or around the site,Cash Food assistance NFIs,Yes,Food assistance NFIs,Government assistance,No,Purchase water from shop,Yes,No,,,,Public latrines Communal latrines,Public showers Communal showers,No,No,No,Yes,Numerous cases of diarrhea Numerous cases of fever,Yes,bazez,Yes,No,Yes,No,,,Cost of healthcare was too high No qualified healthcare professionals,No,Yes,No households (0%),None,Yes,Yes,1,Everything needed is available,Commercial agriculture Public sector/ civil servant,Increased competition for jobs; not enough jobs for everyone Available jobs are too far away,1,Yes,1,Yes,Yes,1,Yes,80,Not enough learning materials Physical/ logistical constraints,Less than a quarter (1%-24%),Male primary school Female primary school Male middle school Female middle school,None,No,No,Yes,Yes,Yes,No,Less than a quarter (1%-24%),22,66589503,dc1757fa-96f2-4d49-9ebd-b742ccf10aec,2019-09-03T14:54:44,,47,????????,IQG01Q01N01,IQG01Q01,IQG01
Baadre - Near ba'adri health center,Baadre,Ninewa,Al-Shikhan,Markaz Al-Shikhan,Small settlement,Single,,36.72669569,43.25642138,IDP households are dispered,8/1/2014,8/1/2014,22,175,125,30,25,0,0,0,4,8,3,22,Ninewa,Ba'aj Sinjar,Qahtanyia .. Adnanya,8/1/2014,Stay at site,Stay at site,"Security concerns: Fear/trauma associated with returning to place of origin House has been damaged/destroyed Basic services in the area of origin are not enough/available (electricity, water, health)",Unfinished and abandoned Residential building House,Less than half shelters (25%-49%),"Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.)",Less than a quarter (1%-24%),Verbal tenancy agreement,Yes,Private owner,Lack of funds to pay rental costs Request to vacate from owner of building/land,No,"Yes, but with difficulty (steep routes, too many stairs, etc.)",All have access (100%),None,None,Neither present in or around the site,Cash Food assistance Cash for Work activities,Yes,Food assistance NFIs WASH (hygeine promotion),Government assistance,Yes,Municipal water network (communal access),Yes,No,,,,Private latrines,Private showers,No,Yes,No,Yes,None,Yes,Badry,Yes,No,Yes,Yes,No,,Insufficient funds to purchase treatment/ medication Medication not available,Yes,Yes,Less than a quarter (1%-24%),"Limited access to food due to physical/logistical constraints (e.g. damaged roads, no vehicles, long distance)",Yes,Yes,2,"Basic food items Water Basic households items (e.g. mattress, blankets, kitchen utensils) Tools, hardware and materials Hygiene items Basic medicine",Casual unskilled labour Public sector/ civil servant Public security official Pension from government,Increased competition for jobs; not enough jobs for everyone,25,Yes,1,Yes,Yes,2,Yes,94,"Limited economic resources (e.g. to pay for school fees, uniform, transport, books, etc)",Less than a quarter (1%-24%),Female middle school Children with disabilities,None,No,No,Yes,Yes,Yes,No,No households (0%),10,67589205,9130a5dc-2187-42f7-a8da-41f109c4357d,2019-09-12T12:39:45,,235,???? ???????,IQG15Q06N01,IQG15Q06,IQG15
Al-Amirya-Albu Salman - El Wakedi Preparatory School,Bo Suleiman,Al-Anbar,Al-Falluja,Al-Amirya,Dispersed settlements,Cluster,3,33.15384699,44.00464707,IDP households are dispered,5/1/2014,6/1/2014,260,675,380,225,240,30,10,5,20,80,60,1,Babylon Anbar,Musayab,Jurf Al-Sakher,5/1/2014,Stay at site,Don't know,Security concerns: Fear/trauma associated with returning to place of origin No transportation available to return home,House Damaged Residential building,Most shelters (50%-74%),"Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris)",Less than a quarter (1%-24%),Verbal tenancy agreement,Don't know,,,No,"Yes, but with difficulty (steep routes, too many stairs, etc.)",All have access (100%),Poor wiring Low and uncovered electrical pylons,Fire extinguishers Fire blankets,Neither present in or around the site,Cash Food assistance,Yes,Food assistance Summerization items,Government assistance,Don't know,Purchase water from shop,No,No,,,,Private latrines,Private showers,No,No,No,No,None,Yes,Al hremat,Yes,No,Yes,No,No,,Facility not equiped to deal with the problem Faciltiies were too far away,No,Yes,No households (0%),Limited access to food due to limited economic resources,No,Yes,1,Everything needed is available,Commercial agriculture Smallholder agriculture,Available jobs are too far away,40,Yes,1,No,Yes,1,No,95,Not enough schools or classrooms Not enough teachers,Less than a quarter (1%-24%),Male primary school,None,No,No,Yes,No,No,No,Less than a quarter (1%-24%),20,66589723,b7200c85-721e-4d2e-b188-5ccacb06753f,2019-09-03T14:55:35,,48,????????,IQG01Q01N01,IQG01Q01,IQG01
Al-Amirya-Al Mouilha,Al-Muweliha,Al-Anbar,Al-Falluja,Al-Amirya,Dispersed settlements,Cluster,1,33.14027403,43.95418768,IDP households are clustered together,8/1/2014,8/1/2014,325,2250,1550,600,550,30,1,1,8,75,20,1,Babylon Anbar,Musayab,Jurf Al-Sakher,8/1/2014,Stay at site,Don't know,Security concerns: Fear/trauma associated with returning to place of origin No financial means to return and restart House has been damaged/destroyed,Tent,Nearly all shelters (75-99%),"Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.)",No households (0%),No tenancy agreement,No,,,Yes,"No, the site is not accessible",All have access (100%),None,None,Neither present in or around the site,Cash Food assistance NFIs,No,,,Yes,Purchase water from shop,Yes,No,,,,Private latrines,Private showers,No,No,No,No,None,Yes,Al Moelha,No,Yes,Yes,Yes,,,Cost of healthcare was too high,No,Yes,Nearly all have access (75%-99%),"Limited access to food due to physical/logistical constraints (e.g. damaged roads, no vehicles, long distance)",No,Yes,2,"Tools, hardware and materials Basic medicine",Unskilled agricultural albour,Increased competition for jobs; not enough jobs for everyone Underqualified for available jobs Lack of family/personal connections,5,Yes,2,Yes,Yes,5,Yes,85,Not enough schools or classrooms,Less than a quarter (1%-24%),None,None,No,No,Yes,No,No,No,No households (0%),20,66589474,100d43a4-6184-4001-83bc-f5911601117e,2019-09-03T14:54:35,,46,????????,IQG01Q01N01,IQG01Q01,IQG01
Sheikhan on the street near Abu Maher markets,Near Abu Maher Market,Ninewa,Tilkaef,Al-Qosh,Dispersed settlements,Single,,36.70214817,43.15060926,IDP households are dispered,9/1/2014,10/1/2014,17,100,50,25,40,16,0,0,10,75,40,11,Ninewa,Sinjar,Non,8/1/2014,Stay at site,Return to AoO,"Security concerns: Presence of explosive hazards (mines, bombs, IEDs) No financial means to return and restart House has been damaged/destroyed",Unfinished and abandoned Residential building,Less than half shelters (25%-49%),"Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting) Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.)",No households (0%),No tenancy agreement,No,,,No,"No, the site is not accessible",All have access (100%),Not enough electricity supply to the whole site,None,Neither present in or around the site,Shelter rehabilitation De-mining services (actual demining or mine risk education) Cash,No,,,Yes,Municipal water network (communal access),Yes,No,,,,Private latrines,Private showers,No,No,No,Yes,Physical disabilites Numerous trauma-related injuries,Yes,Al Qwsh,No,No,No,No,No,,Cost of healthcare was too high,Yes,Yes,No households (0%),None,Yes,No,,,Unskilled wage labour,Increased competition for jobs; not enough jobs for everyone,20,Yes,1,Yes,Yes,1,Yes,85,Not enough learning materials,Less than a quarter (1%-24%),Female high school Female middle school,None,No,No,Yes,No,No,No,Less than a quarter (1%-24%),20,68036001,93b2a030-bda2-4352-ad7b-314b90096080,2019-09-16T14:46:50,,293,?????,IQG15Q09N02,IQG15Q09,IQG15
